standardized_symbol,exchange,_in_t1,_in_t2,_in_t3,_in_t4,_in_t5,_in_t6,_in_t7,_in_t8,_in_t9,confidence_score,primary_listing,name,sic_sector,figi,scalemarketcap,tradable,sic_description,market_capital_2,earnings_announcement,type,symbol,composite_symbol,cik,margin_requirement_long,cusips,share_class_figi,currency,weighted_shares_outstanding,scalerevenue,halt_reason,homepage_url,isin,lot,fama_sector,short_sale_restricted,margin_requirement_short,sic_code,description,industry,sic_industry,status,location,sector,market_capital_1,shortable,easy_to_borrow,etf,country,share_class_shares_outstanding,locale,fama_industry,maintenance_margin_requirement,branding,composite_figi,marginable,shares_outstanding,na_symbol,na_name,na_status,na_lot,na_etf,ny_symbol,ny_status,ny_short_sale_restricted,ny_halt_reason,it_symbol,it_type,it_name,it_currency,it_composite_symbol,it_figi,it_composite_figi,it_share_class_figi,it_primary_listing,ed_symbol,ed_type,ed_name,ed_country,ed_currency,ed_isin,pl_symbol,pl_type,pl_name,pl_locale,pl_status,pl_currency,pl_composite_figi,pl_share_class_figi,pl_share_class_shares_outstanding,pl_cik,pl_sic_code,pl_sic_description,pl_location,pl_market_capital_2,pl_description,pl_homepage_url,pl_branding,pl_weighted_shares_outstanding,sh_symbol,sh_type,sh_name,sh_currency,sh_location,sh_cusips,sh_sic_code,sh_sic_sector,sh_sic_industry,sh_fama_sector,sh_fama_industry,sh_sector,sh_industry,sh_scalemarketcap,sh_scalerevenue,sh_cik,sh_homepage_url,fp_symbol,fp_type,fp_name,fp_market_capital_1,fp_earnings_announcement,fp_shares_outstanding,av_symbol,av_name,av_status,al_symbol,al_name,al_status,al_tradable,al_marginable,al_maintenance_margin_requirement,al_margin_requirement_long,al_margin_requirement_short,al_shortable,al_easy_to_borrow
AACTUN,XNYS,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,Ares Acquisition Corporation II,,,,,,,2025-08-04T20:00:00.000+0000,TRT,AACT-UN,,,,,,,,,,,,,,,,,,,,,,,708704001.0,,,,,,,,,,,,59755818.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AACT-UN,TRT,Ares Acquisition Corporation II,708704001.0,2025-08-04T20:00:00.000+0000,59755818.0,,,,,,,,,,,,,
AACTWT,XNYS,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Ares Acquisition Corporation II WT,,,,,,,,EQS,AACT-WT,,,,,,USD,,,,,KYG330331201,,,,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,AACT-WT,EQS,Ares Acquisition Corporation II WT,USA,USD,KYG330331201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AACUN,XNYS,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,Ares Acquisition Corporation,,,,,,,2023-03-31T00:00:00.000+0000,EQS,AAC-UN,,,,,,,,,,,,,,,,,,,,,,,608548950.0,,,,,,,,,,,,56295000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAC-UN,EQS,Ares Acquisition Corporation,608548950.0,2023-03-31T00:00:00.000+0000,56295000.0,,,,,,,,,,,,,
AACWT,XNYS,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,Ares Acquisition Corporation,,,,,,,2023-03-31T00:00:00.000+0000,EQS,AAC-WT,,,,,,,,,,,,,,,,,,,,,,,761820462.0,,,,,,,,,,,,1209238828.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAC-WT,EQS,Ares Acquisition Corporation,761820462.0,2023-03-31T00:00:00.000+0000,1209238828.0,,,,,,,,,,,,,
AADBX,XNAS,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,American Beacon Balanced Fund R5 Class,,,,,,,,TRT,AADBX,,,,,,,,,,,,,,,,,,,,,,,105149018.0,,,,,,,,,,,,6796963.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AADBX,TRT,American Beacon Balanced Fund R5 Class,105149018.0,,6796963.0,,,,,,,,,,,,,
AADEX,XNAS,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,American Beacon Large Cap Value R5,,,,,,,,TRT,AADEX,,,,,,,,,,,,,,,,,,,,,,,3290246410.0,,,,,,,,,,,,114125786.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AADEX,TRT,American Beacon Large Cap Value R5,3290246410.0,,114125786.0,,,,,,,,,,,,,
AAFTX,XNAS,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,American Funds 2035 Target Date Retirement Fund,,,,,,,,FND,AAFTX,,,,,,,,,,,,,,,,,,,,,,,51907274318.0,,,,,,,,,,,,2456567644.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAFTX,FND,American Funds 2035 Target Date Retirement Fund,51907274318.0,,2456567644.0,,,,,,,,,,,,,
AAGPX,XNAS,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,American Beacon Large Cap Value Fund Investor Class,,,,,,,,TRT,AAGPX,,,,,,,,,,,,,,,,,,,,,,,3290829326.0,,,,,,,,,,,,133556385.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAGPX,TRT,American Beacon Large Cap Value Fund Investor Class,3290829326.0,,133556385.0,,,,,,,,,,,,,
AAGR,XNAS,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,African Agriculture Holdings Inc.,,,,,,,,EQS,AAGR,,,,,,USD,,,,,US00792J1007,,,,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,AAGR,EQS,African Agriculture Holdings Inc.,USA,USD,US00792J1007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAGTX,XNAS,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,American Funds 2040 Target Date Retirement Fund Class A,,,,,,,,TRT,AAGTX,,,,,,,,,,,,,,,,,,,,,,,48143171567.0,,,,,,,,,,,,2087735107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAGTX,TRT,American Funds 2040 Target Date Retirement Fund Class A,48143171567.0,,2087735107.0,,,,,,,,,,,,,
